cluster_representative	cluster_component
31544-GSTP1_HUMAN@pmd	31536-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31537-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31538-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31539-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31540-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31541-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31542-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	31543-GSTP1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	47604-GSTA4_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44609-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44610-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44611-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44612-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44613-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44614-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44615-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44616-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44617-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	47605-GSTA4_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44618-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	47606-GSTA4_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44619-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	47607-GSTA4_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44620-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44621-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44622-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44623-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44624-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	44625-GSTA1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	59772-GSTM3_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	32761-GSTM4_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	32762-GSTM4_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	43536-GSTM1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	43537-GSTM1_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	59773-GSTM3_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	59774-GSTM3_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	59775-GSTM3_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	59776-GSTM3_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	62644-GSTM2_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	62645-GSTM2_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	62646-GSTM2_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	32759-GSTM4_HUMAN@pmd
31544-GSTP1_HUMAN@pmd	32760-GSTM4_HUMAN@pmd
32242-CNR2_HUMAN@pmd	32242-CNR2_HUMAN@pmd
32242-CNR2_HUMAN@pmd	32243-CNR2_HUMAN@pmd
32242-CNR2_HUMAN@pmd	32241-CNR2_HUMAN@pmd
32242-CNR2_HUMAN@pmd	42527-TA2R_HUMAN@pmd
32242-CNR2_HUMAN@pmd	42526-TA2R_HUMAN@pmd
32274-CBS_HUMAN@pmd	32274-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32275-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32276-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32277-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32278-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32279-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32280-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32281-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32282-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32283-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32284-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32269-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32270-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32271-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32272-CBS_HUMAN@pmd
32274-CBS_HUMAN@pmd	32273-CBS_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32328-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32329-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32330-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32331-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32332-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32333-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32334-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32335-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32336-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32337-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32338-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32339-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32340-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32313-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32314-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32315-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32316-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32317-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32318-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32319-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32320-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32321-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32322-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32323-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32324-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32325-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32326-DCAM_HUMAN@pmd
32328-DCAM_HUMAN@pmd	32327-DCAM_HUMAN@pmd
32859-ANPRB_HUMAN@pmd	32859-ANPRB_HUMAN@pmd
32859-ANPRB_HUMAN@pmd	32860-ANPRB_HUMAN@pmd
32859-ANPRB_HUMAN@pmd	32861-ANPRB_HUMAN@pmd
32859-ANPRB_HUMAN@pmd	32856-ANPRB_HUMAN@pmd
32859-ANPRB_HUMAN@pmd	32857-ANPRB_HUMAN@pmd
32859-ANPRB_HUMAN@pmd	32858-ANPRB_HUMAN@pmd
32859-ANPRB_HUMAN@pmd	52059-ANPRA_HUMAN@pmd
32859-ANPRB_HUMAN@pmd	97162-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97163-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97164-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97165-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97166-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97167-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97168-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97169-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97170-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97171-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97172-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97173-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97174-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97175-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97176-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97177-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97178-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97179-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97180-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97181-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97182-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97183-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97184-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97185-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97186-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	97157-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	52055-ANPRA_HUMAN@pmd
32859-ANPRB_HUMAN@pmd	97158-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	52056-ANPRA_HUMAN@pmd
32859-ANPRB_HUMAN@pmd	97159-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	52057-ANPRA_HUMAN@pmd
32859-ANPRB_HUMAN@pmd	97160-ANPA_HUMAN@ec
32859-ANPRB_HUMAN@pmd	52058-ANPRA_HUMAN@pmd
32859-ANPRB_HUMAN@pmd	97161-ANPA_HUMAN@ec
32914-TYSY_HUMAN@pmd	32914-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32915-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32916-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32917-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32918-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32919-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32920-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32921-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32922-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32923-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32924-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32925-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32926-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32927-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32928-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32897-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32898-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32899-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32900-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32901-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32902-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32903-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32904-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32905-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32906-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32907-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32908-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32909-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32910-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32911-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32912-TYSY_HUMAN@pmd
32914-TYSY_HUMAN@pmd	32913-TYSY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33424-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33425-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33426-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33427-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33428-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33429-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33430-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33431-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33432-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33433-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33434-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33435-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33436-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33437-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33438-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33439-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33440-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33441-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33442-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33443-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33444-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33445-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33446-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33447-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33416-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33448-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33417-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33449-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33418-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33419-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33420-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33421-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33422-NEUY_HUMAN@pmd
33424-NEUY_HUMAN@pmd	33423-NEUY_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33470-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33471-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33472-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33473-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33474-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33475-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33476-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33477-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33478-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33479-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33480-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33481-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33482-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33483-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33484-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33485-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33486-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33487-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33488-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33489-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33490-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33491-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33492-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33493-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33494-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33464-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33465-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33466-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33467-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33468-APEX1_HUMAN@pmd
33470-APEX1_HUMAN@pmd	33469-APEX1_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	33831-FGFR3_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	33832-FGFR3_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	33830-FGFR3_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	47982-FGFR1_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	47983-FGFR1_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	47984-FGFR1_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	47985-FGFR1_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	47986-FGFR1_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	47987-FGFR1_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	47988-FGFR1_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	47989-FGFR1_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	47990-FGFR1_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	47991-FGFR1_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	47992-FGFR1_HUMAN@pmd
33831-FGFR3_HUMAN@pmd	47993-FGFR1_HUMAN@pmd
34083-CBL_HUMAN@pmd	34083-CBL_HUMAN@pmd
34083-CBL_HUMAN@pmd	34084-CBL_HUMAN@pmd
34083-CBL_HUMAN@pmd	34081-CBL_HUMAN@pmd
34083-CBL_HUMAN@pmd	34082-CBL_HUMAN@pmd
34215-TPO_HUMAN@pmd	34215-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34247-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34216-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34248-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34217-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34249-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34218-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34250-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34219-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34251-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34220-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34252-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34221-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34253-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34222-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34254-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34223-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34255-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34192-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34224-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34256-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34193-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34225-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34257-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34194-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34226-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34258-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34195-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34227-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34196-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34228-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34197-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34229-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34198-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34230-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34199-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34231-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34200-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34232-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34201-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34233-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34202-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34234-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34203-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34235-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34204-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34236-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34205-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34237-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34206-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34238-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34207-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34239-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34208-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34240-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34209-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34241-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34210-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34242-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34211-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34243-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34212-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34244-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34213-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34245-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34214-TPO_HUMAN@pmd
34215-TPO_HUMAN@pmd	34246-TPO_HUMAN@pmd
34296-MCHR1_HUMAN@pmd	34296-MCHR1_HUMAN@pmd
34296-MCHR1_HUMAN@pmd	34297-MCHR1_HUMAN@pmd
34296-MCHR1_HUMAN@pmd	34298-MCHR1_HUMAN@pmd
34296-MCHR1_HUMAN@pmd	34299-MCHR1_HUMAN@pmd
34296-MCHR1_HUMAN@pmd	34300-MCHR1_HUMAN@pmd
34296-MCHR1_HUMAN@pmd	34286-MCHR1_HUMAN@pmd
34296-MCHR1_HUMAN@pmd	34287-MCHR1_HUMAN@pmd
34296-MCHR1_HUMAN@pmd	34288-MCHR1_HUMAN@pmd
34296-MCHR1_HUMAN@pmd	34289-MCHR1_HUMAN@pmd
34296-MCHR1_HUMAN@pmd	34290-MCHR1_HUMAN@pmd
34296-MCHR1_HUMAN@pmd	34291-MCHR1_HUMAN@pmd
34296-MCHR1_HUMAN@pmd	34292-MCHR1_HUMAN@pmd
34296-MCHR1_HUMAN@pmd	34293-MCHR1_HUMAN@pmd
