cluster_representative	cluster_component
192-A33391@yana	64439-CANB1_HUMAN@pmd
192-A33391@yana	184-A33391@yana
192-A33391@yana	64440-CANB1_HUMAN@pmd
192-A33391@yana	185-A33391@yana
192-A33391@yana	64441-CANB1_HUMAN@pmd
192-A33391@yana	186-A33391@yana
192-A33391@yana	187-A33391@yana
192-A33391@yana	188-A33391@yana
192-A33391@yana	189-A33391@yana
192-A33391@yana	190-A33391@yana
192-A33391@yana	191-A33391@yana
288-A35780@yana	288-A35780@yana
288-A35780@yana	320-A35780@yana
288-A35780@yana	62048-FKB1A_HUMAN@pmd
288-A35780@yana	62080-FKB1A_HUMAN@pmd
288-A35780@yana	289-A35780@yana
288-A35780@yana	321-A35780@yana
288-A35780@yana	62049-FKB1A_HUMAN@pmd
288-A35780@yana	62081-FKB1A_HUMAN@pmd
288-A35780@yana	290-A35780@yana
288-A35780@yana	322-A35780@yana
288-A35780@yana	62050-FKB1A_HUMAN@pmd
288-A35780@yana	62082-FKB1A_HUMAN@pmd
288-A35780@yana	291-A35780@yana
288-A35780@yana	323-A35780@yana
288-A35780@yana	62051-FKB1A_HUMAN@pmd
288-A35780@yana	62083-FKB1A_HUMAN@pmd
288-A35780@yana	292-A35780@yana
288-A35780@yana	324-A35780@yana
288-A35780@yana	62052-FKB1A_HUMAN@pmd
288-A35780@yana	62084-FKB1A_HUMAN@pmd
288-A35780@yana	293-A35780@yana
288-A35780@yana	325-A35780@yana
288-A35780@yana	62053-FKB1A_HUMAN@pmd
288-A35780@yana	62085-FKB1A_HUMAN@pmd
288-A35780@yana	294-A35780@yana
288-A35780@yana	326-A35780@yana
288-A35780@yana	62054-FKB1A_HUMAN@pmd
288-A35780@yana	62086-FKB1A_HUMAN@pmd
288-A35780@yana	295-A35780@yana
288-A35780@yana	327-A35780@yana
288-A35780@yana	62055-FKB1A_HUMAN@pmd
288-A35780@yana	62087-FKB1A_HUMAN@pmd
288-A35780@yana	296-A35780@yana
288-A35780@yana	328-A35780@yana
288-A35780@yana	62056-FKB1A_HUMAN@pmd
288-A35780@yana	62088-FKB1A_HUMAN@pmd
288-A35780@yana	69928-A973691@direct2
288-A35780@yana	297-A35780@yana
288-A35780@yana	329-A35780@yana
288-A35780@yana	62057-FKB1A_HUMAN@pmd
288-A35780@yana	62089-FKB1A_HUMAN@pmd
288-A35780@yana	298-A35780@yana
288-A35780@yana	330-A35780@yana
288-A35780@yana	62058-FKB1A_HUMAN@pmd
288-A35780@yana	62090-FKB1A_HUMAN@pmd
288-A35780@yana	299-A35780@yana
288-A35780@yana	331-A35780@yana
288-A35780@yana	62059-FKB1A_HUMAN@pmd
288-A35780@yana	62091-FKB1A_HUMAN@pmd
288-A35780@yana	300-A35780@yana
288-A35780@yana	3756-JC2188@yana
288-A35780@yana	62060-FKB1A_HUMAN@pmd
288-A35780@yana	62092-FKB1A_HUMAN@pmd
288-A35780@yana	301-A35780@yana
288-A35780@yana	3757-JC2188@yana
288-A35780@yana	62061-FKB1A_HUMAN@pmd
288-A35780@yana	62093-FKB1A_HUMAN@pmd
288-A35780@yana	302-A35780@yana
288-A35780@yana	3758-JC2188@yana
288-A35780@yana	62062-FKB1A_HUMAN@pmd
288-A35780@yana	62094-FKB1A_HUMAN@pmd
288-A35780@yana	303-A35780@yana
288-A35780@yana	3759-JC2188@yana
288-A35780@yana	62063-FKB1A_HUMAN@pmd
288-A35780@yana	62095-FKB1A_HUMAN@pmd
288-A35780@yana	304-A35780@yana
288-A35780@yana	3760-JC2188@yana
288-A35780@yana	62064-FKB1A_HUMAN@pmd
288-A35780@yana	62096-FKB1A_HUMAN@pmd
288-A35780@yana	305-A35780@yana
288-A35780@yana	3761-JC2188@yana
288-A35780@yana	62065-FKB1A_HUMAN@pmd
288-A35780@yana	306-A35780@yana
288-A35780@yana	3762-JC2188@yana
288-A35780@yana	62066-FKB1A_HUMAN@pmd
288-A35780@yana	307-A35780@yana
288-A35780@yana	62067-FKB1A_HUMAN@pmd
288-A35780@yana	308-A35780@yana
288-A35780@yana	62068-FKB1A_HUMAN@pmd
288-A35780@yana	309-A35780@yana
288-A35780@yana	62069-FKB1A_HUMAN@pmd
288-A35780@yana	310-A35780@yana
288-A35780@yana	62070-FKB1A_HUMAN@pmd
288-A35780@yana	311-A35780@yana
288-A35780@yana	62071-FKB1A_HUMAN@pmd
288-A35780@yana	312-A35780@yana
288-A35780@yana	62072-FKB1A_HUMAN@pmd
288-A35780@yana	313-A35780@yana
288-A35780@yana	62073-FKB1A_HUMAN@pmd
288-A35780@yana	314-A35780@yana
288-A35780@yana	62074-FKB1A_HUMAN@pmd
288-A35780@yana	315-A35780@yana
288-A35780@yana	62075-FKB1A_HUMAN@pmd
288-A35780@yana	316-A35780@yana
288-A35780@yana	62076-FKB1A_HUMAN@pmd
288-A35780@yana	317-A35780@yana
288-A35780@yana	62077-FKB1A_HUMAN@pmd
288-A35780@yana	318-A35780@yana
288-A35780@yana	62078-FKB1A_HUMAN@pmd
288-A35780@yana	319-A35780@yana
288-A35780@yana	62079-FKB1A_HUMAN@pmd
288-A35780@yana	60185-FKBP_YEAST@pmd
288-A35780@yana	60186-FKBP_YEAST@pmd
288-A35780@yana	60187-FKBP_YEAST@pmd
288-A35780@yana	60188-FKBP_YEAST@pmd
288-A35780@yana	60189-FKBP_YEAST@pmd
288-A35780@yana	60190-FKBP_YEAST@pmd
288-A35780@yana	60191-FKBP_YEAST@pmd
384-PHECGM@yana	384-PHECGM@yana
384-PHECGM@yana	385-PHECGM@yana
384-PHECGM@yana	56745-PHSM_ECOLI@pmd
384-PHECGM@yana	56746-PHSM_ECOLI@pmd
384-PHECGM@yana	56747-PHSM_ECOLI@pmd
384-PHECGM@yana	56748-PHSM_ECOLI@pmd
384-PHECGM@yana	56749-PHSM_ECOLI@pmd
384-PHECGM@yana	56750-PHSM_ECOLI@pmd
384-PHECGM@yana	56751-PHSM_ECOLI@pmd
384-PHECGM@yana	56752-PHSM_ECOLI@pmd
384-PHECGM@yana	56753-PHSM_ECOLI@pmd
384-PHECGM@yana	56754-PHSM_ECOLI@pmd
384-PHECGM@yana	56755-PHSM_ECOLI@pmd
384-PHECGM@yana	56756-PHSM_ECOLI@pmd
384-PHECGM@yana	381-PHECGM@yana
384-PHECGM@yana	382-PHECGM@yana
384-PHECGM@yana	383-PHECGM@yana
384-PHECGM@yana	68332-PHSG_ECOLI@pmd
384-PHECGM@yana	87200-PHS1_DICDI@ec
384-PHECGM@yana	87201-PHS1_DICDI@ec
384-PHECGM@yana	87202-PHS1_DICDI@ec
384-PHECGM@yana	87203-PHS1_DICDI@ec
384-PHECGM@yana	87204-PHS1_DICDI@ec
384-PHECGM@yana	87205-PHS1_DICDI@ec
384-PHECGM@yana	87206-PHS1_DICDI@ec
384-PHECGM@yana	87207-PHS1_DICDI@ec
384-PHECGM@yana	87208-PHS1_DICDI@ec
384-PHECGM@yana	87209-PHS1_DICDI@ec
384-PHECGM@yana	87210-PHS1_DICDI@ec
384-PHECGM@yana	87211-PHS1_DICDI@ec
384-PHECGM@yana	87212-PHS1_DICDI@ec
384-PHECGM@yana	87213-PHS1_DICDI@ec
384-PHECGM@yana	87214-PHS1_DICDI@ec
384-PHECGM@yana	87215-PHS1_DICDI@ec
384-PHECGM@yana	87216-PHS1_DICDI@ec
384-PHECGM@yana	87217-PHS1_DICDI@ec
384-PHECGM@yana	87218-PHS1_DICDI@ec
384-PHECGM@yana	87219-PHS1_DICDI@ec
384-PHECGM@yana	87220-PHS1_DICDI@ec
384-PHECGM@yana	87221-PHS1_DICDI@ec
384-PHECGM@yana	87222-PHS1_DICDI@ec
384-PHECGM@yana	87223-PHS1_DICDI@ec
384-PHECGM@yana	87224-PHS1_DICDI@ec
384-PHECGM@yana	87199-PHS1_DICDI@ec
384-PHECGM@yana	13414-1944@disease
384-PHECGM@yana	27968-P11217@humsvar
384-PHECGM@yana	27969-P11217@humsvar
384-PHECGM@yana	27970-P11217@humsvar
384-PHECGM@yana	27971-P11217@humsvar
384-PHECGM@yana	74179-PHS1_HUMAN@pmd
384-PHECGM@yana	6756-PHRBG@yana
384-PHECGM@yana	27972-P11217@humsvar
384-PHECGM@yana	74180-PHS1_HUMAN@pmd
384-PHECGM@yana	6757-PHRBG@yana
384-PHECGM@yana	27973-P11217@humsvar
384-PHECGM@yana	6758-PHRBG@yana
384-PHECGM@yana	9670-1652@disease
384-PHECGM@yana	27974-P11217@humsvar
384-PHECGM@yana	6759-PHRBG@yana
384-PHECGM@yana	9671-1652@disease
384-PHECGM@yana	13415-1944@disease
384-PHECGM@yana	27975-P11217@humsvar
384-PHECGM@yana	6760-PHRBG@yana
384-PHECGM@yana	9672-1652@disease
384-PHECGM@yana	13928-2084@disease
384-PHECGM@yana	27976-P11217@humsvar
384-PHECGM@yana	6761-PHRBG@yana
384-PHECGM@yana	13929-2084@disease
384-PHECGM@yana	63146-PHS2_RABIT@pmd
384-PHECGM@yana	63147-PHS2_RABIT@pmd
384-PHECGM@yana	63148-PHS2_RABIT@pmd
384-PHECGM@yana	63149-PHS2_RABIT@pmd
384-PHECGM@yana	63150-PHS2_RABIT@pmd
384-PHECGM@yana	12847-245@disease
384-PHECGM@yana	63151-PHS2_RABIT@pmd
384-PHECGM@yana	12848-245@disease
384-PHECGM@yana	63152-PHS2_RABIT@pmd
384-PHECGM@yana	63153-PHS2_RABIT@pmd
384-PHECGM@yana	63154-PHS2_RABIT@pmd
384-PHECGM@yana	63155-PHS2_RABIT@pmd
384-PHECGM@yana	63156-PHS2_RABIT@pmd
384-PHECGM@yana	63157-PHS2_RABIT@pmd
384-PHECGM@yana	63158-PHS2_RABIT@pmd
384-PHECGM@yana	63159-PHS2_RABIT@pmd
384-PHECGM@yana	63160-PHS2_RABIT@pmd
384-PHECGM@yana	27966-P11217@humsvar
384-PHECGM@yana	27967-P11217@humsvar
480-RQECA@yana	480-RQECA@yana
480-RQECA@yana	512-RQECA@yana
480-RQECA@yana	544-RQECA@yana
480-RQECA@yana	576-RQECA@yana
480-RQECA@yana	608-RQECA@yana
480-RQECA@yana	640-RQECA@yana
480-RQECA@yana	672-RQECA@yana
480-RQECA@yana	449-RQECA@yana
480-RQECA@yana	481-RQECA@yana
480-RQECA@yana	513-RQECA@yana
480-RQECA@yana	545-RQECA@yana
480-RQECA@yana	577-RQECA@yana
480-RQECA@yana	609-RQECA@yana
480-RQECA@yana	641-RQECA@yana
480-RQECA@yana	673-RQECA@yana
480-RQECA@yana	450-RQECA@yana
480-RQECA@yana	482-RQECA@yana
480-RQECA@yana	514-RQECA@yana
480-RQECA@yana	546-RQECA@yana
480-RQECA@yana	578-RQECA@yana
480-RQECA@yana	610-RQECA@yana
480-RQECA@yana	642-RQECA@yana
480-RQECA@yana	674-RQECA@yana
480-RQECA@yana	451-RQECA@yana
480-RQECA@yana	483-RQECA@yana
480-RQECA@yana	515-RQECA@yana
480-RQECA@yana	547-RQECA@yana
480-RQECA@yana	579-RQECA@yana
480-RQECA@yana	611-RQECA@yana
480-RQECA@yana	643-RQECA@yana
480-RQECA@yana	675-RQECA@yana
480-RQECA@yana	452-RQECA@yana
480-RQECA@yana	484-RQECA@yana
480-RQECA@yana	516-RQECA@yana
480-RQECA@yana	548-RQECA@yana
480-RQECA@yana	580-RQECA@yana
480-RQECA@yana	612-RQECA@yana
480-RQECA@yana	644-RQECA@yana
480-RQECA@yana	676-RQECA@yana
480-RQECA@yana	453-RQECA@yana
480-RQECA@yana	485-RQECA@yana
480-RQECA@yana	517-RQECA@yana
480-RQECA@yana	549-RQECA@yana
480-RQECA@yana	581-RQECA@yana
480-RQECA@yana	613-RQECA@yana
480-RQECA@yana	645-RQECA@yana
480-RQECA@yana	677-RQECA@yana
480-RQECA@yana	454-RQECA@yana
480-RQECA@yana	486-RQECA@yana
480-RQECA@yana	518-RQECA@yana
480-RQECA@yana	550-RQECA@yana
480-RQECA@yana	582-RQECA@yana
480-RQECA@yana	614-RQECA@yana
480-RQECA@yana	646-RQECA@yana
480-RQECA@yana	678-RQECA@yana
480-RQECA@yana	455-RQECA@yana
480-RQECA@yana	487-RQECA@yana
480-RQECA@yana	519-RQECA@yana
480-RQECA@yana	551-RQECA@yana
480-RQECA@yana	583-RQECA@yana
480-RQECA@yana	615-RQECA@yana
480-RQECA@yana	647-RQECA@yana
480-RQECA@yana	679-RQECA@yana
480-RQECA@yana	456-RQECA@yana
480-RQECA@yana	488-RQECA@yana
480-RQECA@yana	520-RQECA@yana
480-RQECA@yana	552-RQECA@yana
480-RQECA@yana	584-RQECA@yana
480-RQECA@yana	616-RQECA@yana
480-RQECA@yana	648-RQECA@yana
480-RQECA@yana	680-RQECA@yana
480-RQECA@yana	457-RQECA@yana
480-RQECA@yana	489-RQECA@yana
480-RQECA@yana	521-RQECA@yana
480-RQECA@yana	553-RQECA@yana
480-RQECA@yana	585-RQECA@yana
480-RQECA@yana	617-RQECA@yana
480-RQECA@yana	649-RQECA@yana
480-RQECA@yana	681-RQECA@yana
480-RQECA@yana	458-RQECA@yana
480-RQECA@yana	490-RQECA@yana
480-RQECA@yana	522-RQECA@yana
480-RQECA@yana	554-RQECA@yana
480-RQECA@yana	586-RQECA@yana
480-RQECA@yana	618-RQECA@yana
480-RQECA@yana	650-RQECA@yana
480-RQECA@yana	682-RQECA@yana
480-RQECA@yana	459-RQECA@yana
480-RQECA@yana	491-RQECA@yana
480-RQECA@yana	523-RQECA@yana
480-RQECA@yana	555-RQECA@yana
480-RQECA@yana	587-RQECA@yana
480-RQECA@yana	619-RQECA@yana
480-RQECA@yana	651-RQECA@yana
480-RQECA@yana	683-RQECA@yana
480-RQECA@yana	460-RQECA@yana
480-RQECA@yana	492-RQECA@yana
480-RQECA@yana	524-RQECA@yana
480-RQECA@yana	556-RQECA@yana
480-RQECA@yana	588-RQECA@yana
480-RQECA@yana	620-RQECA@yana
480-RQECA@yana	652-RQECA@yana
480-RQECA@yana	684-RQECA@yana
480-RQECA@yana	461-RQECA@yana
480-RQECA@yana	493-RQECA@yana
480-RQECA@yana	525-RQECA@yana
480-RQECA@yana	557-RQECA@yana
480-RQECA@yana	589-RQECA@yana
480-RQECA@yana	621-RQECA@yana
480-RQECA@yana	653-RQECA@yana
480-RQECA@yana	685-RQECA@yana
480-RQECA@yana	462-RQECA@yana
480-RQECA@yana	494-RQECA@yana
480-RQECA@yana	526-RQECA@yana
480-RQECA@yana	558-RQECA@yana
480-RQECA@yana	590-RQECA@yana
480-RQECA@yana	622-RQECA@yana
480-RQECA@yana	654-RQECA@yana
480-RQECA@yana	686-RQECA@yana
480-RQECA@yana	463-RQECA@yana
480-RQECA@yana	495-RQECA@yana
480-RQECA@yana	527-RQECA@yana
480-RQECA@yana	559-RQECA@yana
480-RQECA@yana	591-RQECA@yana
480-RQECA@yana	623-RQECA@yana
480-RQECA@yana	655-RQECA@yana
480-RQECA@yana	687-RQECA@yana
480-RQECA@yana	464-RQECA@yana
480-RQECA@yana	496-RQECA@yana
480-RQECA@yana	528-RQECA@yana
480-RQECA@yana	560-RQECA@yana
480-RQECA@yana	592-RQECA@yana
480-RQECA@yana	624-RQECA@yana
480-RQECA@yana	656-RQECA@yana
480-RQECA@yana	688-RQECA@yana
480-RQECA@yana	465-RQECA@yana
480-RQECA@yana	497-RQECA@yana
480-RQECA@yana	529-RQECA@yana
480-RQECA@yana	561-RQECA@yana
480-RQECA@yana	593-RQECA@yana
480-RQECA@yana	625-RQECA@yana
480-RQECA@yana	657-RQECA@yana
480-RQECA@yana	689-RQECA@yana
480-RQECA@yana	466-RQECA@yana
480-RQECA@yana	498-RQECA@yana
480-RQECA@yana	530-RQECA@yana
480-RQECA@yana	562-RQECA@yana
480-RQECA@yana	594-RQECA@yana
480-RQECA@yana	626-RQECA@yana
480-RQECA@yana	658-RQECA@yana
480-RQECA@yana	690-RQECA@yana
480-RQECA@yana	467-RQECA@yana
480-RQECA@yana	499-RQECA@yana
480-RQECA@yana	531-RQECA@yana
480-RQECA@yana	563-RQECA@yana
480-RQECA@yana	595-RQECA@yana
480-RQECA@yana	627-RQECA@yana
480-RQECA@yana	659-RQECA@yana
480-RQECA@yana	468-RQECA@yana
480-RQECA@yana	500-RQECA@yana
480-RQECA@yana	532-RQECA@yana
480-RQECA@yana	564-RQECA@yana
480-RQECA@yana	596-RQECA@yana
480-RQECA@yana	628-RQECA@yana
480-RQECA@yana	660-RQECA@yana
480-RQECA@yana	469-RQECA@yana
480-RQECA@yana	501-RQECA@yana
480-RQECA@yana	533-RQECA@yana
480-RQECA@yana	565-RQECA@yana
480-RQECA@yana	597-RQECA@yana
480-RQECA@yana	629-RQECA@yana
480-RQECA@yana	661-RQECA@yana
480-RQECA@yana	470-RQECA@yana
480-RQECA@yana	502-RQECA@yana
480-RQECA@yana	534-RQECA@yana
480-RQECA@yana	566-RQECA@yana
480-RQECA@yana	598-RQECA@yana
480-RQECA@yana	630-RQECA@yana
480-RQECA@yana	662-RQECA@yana
480-RQECA@yana	471-RQECA@yana
480-RQECA@yana	503-RQECA@yana
480-RQECA@yana	535-RQECA@yana
480-RQECA@yana	567-RQECA@yana
480-RQECA@yana	599-RQECA@yana
480-RQECA@yana	631-RQECA@yana
480-RQECA@yana	663-RQECA@yana
480-RQECA@yana	472-RQECA@yana
480-RQECA@yana	504-RQECA@yana
480-RQECA@yana	536-RQECA@yana
480-RQECA@yana	568-RQECA@yana
480-RQECA@yana	600-RQECA@yana
480-RQECA@yana	632-RQECA@yana
480-RQECA@yana	664-RQECA@yana
480-RQECA@yana	473-RQECA@yana
480-RQECA@yana	505-RQECA@yana
480-RQECA@yana	537-RQECA@yana
480-RQECA@yana	569-RQECA@yana
480-RQECA@yana	601-RQECA@yana
480-RQECA@yana	633-RQECA@yana
480-RQECA@yana	665-RQECA@yana
480-RQECA@yana	474-RQECA@yana
480-RQECA@yana	506-RQECA@yana
480-RQECA@yana	538-RQECA@yana
480-RQECA@yana	570-RQECA@yana
480-RQECA@yana	602-RQECA@yana
480-RQECA@yana	634-RQECA@yana
480-RQECA@yana	666-RQECA@yana
480-RQECA@yana	475-RQECA@yana
480-RQECA@yana	507-RQECA@yana
480-RQECA@yana	539-RQECA@yana
480-RQECA@yana	571-RQECA@yana
480-RQECA@yana	603-RQECA@yana
480-RQECA@yana	635-RQECA@yana
480-RQECA@yana	667-RQECA@yana
480-RQECA@yana	476-RQECA@yana
480-RQECA@yana	508-RQECA@yana
480-RQECA@yana	540-RQECA@yana
480-RQECA@yana	572-RQECA@yana
480-RQECA@yana	604-RQECA@yana
480-RQECA@yana	636-RQECA@yana
480-RQECA@yana	668-RQECA@yana
480-RQECA@yana	477-RQECA@yana
480-RQECA@yana	509-RQECA@yana
480-RQECA@yana	541-RQECA@yana
480-RQECA@yana	573-RQECA@yana
480-RQECA@yana	605-RQECA@yana
480-RQECA@yana	637-RQECA@yana
480-RQECA@yana	669-RQECA@yana
480-RQECA@yana	478-RQECA@yana
480-RQECA@yana	510-RQECA@yana
480-RQECA@yana	542-RQECA@yana
480-RQECA@yana	574-RQECA@yana
480-RQECA@yana	606-RQECA@yana
480-RQECA@yana	638-RQECA@yana
480-RQECA@yana	670-RQECA@yana
480-RQECA@yana	479-RQECA@yana
480-RQECA@yana	511-RQECA@yana
480-RQECA@yana	543-RQECA@yana
480-RQECA@yana	575-RQECA@yana
480-RQECA@yana	607-RQECA@yana
480-RQECA@yana	639-RQECA@yana
480-RQECA@yana	671-RQECA@yana
832-A42082@yana	832-A42082@yana
832-A42082@yana	45664-PPAC_BOVIN@pmd
832-A42082@yana	45665-PPAC_BOVIN@pmd
832-A42082@yana	45666-PPAC_BOVIN@pmd
832-A42082@yana	45667-PPAC_BOVIN@pmd
832-A42082@yana	45668-PPAC_BOVIN@pmd
832-A42082@yana	45669-PPAC_BOVIN@pmd
832-A42082@yana	45670-PPAC_BOVIN@pmd
832-A42082@yana	45671-PPAC_BOVIN@pmd
832-A42082@yana	45672-PPAC_BOVIN@pmd
832-A42082@yana	45673-PPAC_BOVIN@pmd
832-A42082@yana	45674-PPAC_BOVIN@pmd
832-A42082@yana	45675-PPAC_BOVIN@pmd
832-A42082@yana	812-A42082@yana
832-A42082@yana	45676-PPAC_BOVIN@pmd
832-A42082@yana	813-A42082@yana
832-A42082@yana	45677-PPAC_BOVIN@pmd
832-A42082@yana	814-A42082@yana
832-A42082@yana	45678-PPAC_BOVIN@pmd
832-A42082@yana	815-A42082@yana
832-A42082@yana	45679-PPAC_BOVIN@pmd
832-A42082@yana	816-A42082@yana
832-A42082@yana	45680-PPAC_BOVIN@pmd
832-A42082@yana	817-A42082@yana
832-A42082@yana	45681-PPAC_BOVIN@pmd
832-A42082@yana	818-A42082@yana
832-A42082@yana	819-A42082@yana
832-A42082@yana	820-A42082@yana
832-A42082@yana	821-A42082@yana
832-A42082@yana	822-A42082@yana
832-A42082@yana	823-A42082@yana
832-A42082@yana	824-A42082@yana
832-A42082@yana	825-A42082@yana
832-A42082@yana	45657-PPAC_BOVIN@pmd
832-A42082@yana	826-A42082@yana
832-A42082@yana	45658-PPAC_BOVIN@pmd
832-A42082@yana	827-A42082@yana
832-A42082@yana	45659-PPAC_BOVIN@pmd
832-A42082@yana	828-A42082@yana
832-A42082@yana	45660-PPAC_BOVIN@pmd
832-A42082@yana	829-A42082@yana
832-A42082@yana	45661-PPAC_BOVIN@pmd
832-A42082@yana	830-A42082@yana
832-A42082@yana	45662-PPAC_BOVIN@pmd
832-A42082@yana	831-A42082@yana
832-A42082@yana	45663-PPAC_BOVIN@pmd
896-FOMV1M@yana	896-FOMV1M@yana
896-FOMV1M@yana	66752-GAG_MLVHO@pmd
896-FOMV1M@yana	897-FOMV1M@yana
896-FOMV1M@yana	898-FOMV1M@yana
896-FOMV1M@yana	899-FOMV1M@yana
896-FOMV1M@yana	900-FOMV1M@yana
896-FOMV1M@yana	901-FOMV1M@yana
896-FOMV1M@yana	902-FOMV1M@yana
896-FOMV1M@yana	903-FOMV1M@yana
896-FOMV1M@yana	904-FOMV1M@yana
896-FOMV1M@yana	905-FOMV1M@yana
896-FOMV1M@yana	906-FOMV1M@yana
896-FOMV1M@yana	907-FOMV1M@yana
896-FOMV1M@yana	908-FOMV1M@yana
896-FOMV1M@yana	909-FOMV1M@yana
896-FOMV1M@yana	891-FOMV1M@yana
896-FOMV1M@yana	892-FOMV1M@yana
896-FOMV1M@yana	893-FOMV1M@yana
896-FOMV1M@yana	894-FOMV1M@yana
896-FOMV1M@yana	895-FOMV1M@yana
896-FOMV1M@yana	66751-GAG_MLVHO@pmd
992-JC4919@yana	992-JC4919@yana
992-JC4919@yana	993-JC4919@yana
992-JC4919@yana	994-JC4919@yana
992-JC4919@yana	981-JC4919@yana
992-JC4919@yana	982-JC4919@yana
992-JC4919@yana	983-JC4919@yana
992-JC4919@yana	984-JC4919@yana
992-JC4919@yana	985-JC4919@yana
992-JC4919@yana	986-JC4919@yana
992-JC4919@yana	987-JC4919@yana
992-JC4919@yana	988-JC4919@yana
992-JC4919@yana	989-JC4919@yana
992-JC4919@yana	990-JC4919@yana
992-JC4919@yana	991-JC4919@yana
1056-A56244@yana	1056-A56244@yana
1056-A56244@yana	1057-A56244@yana
1056-A56244@yana	1058-A56244@yana
1056-A56244@yana	1052-A56244@yana
1056-A56244@yana	1053-A56244@yana
1056-A56244@yana	1054-A56244@yana
1056-A56244@yana	1055-A56244@yana
1184-RGECLR@yana	1184-RGECLR@yana
1184-RGECLR@yana	1185-RGECLR@yana
1184-RGECLR@yana	1186-RGECLR@yana
1184-RGECLR@yana	1187-RGECLR@yana
1184-RGECLR@yana	1188-RGECLR@yana
1184-RGECLR@yana	1167-RGECLR@yana
1184-RGECLR@yana	1168-RGECLR@yana
1184-RGECLR@yana	1169-RGECLR@yana
1184-RGECLR@yana	1170-RGECLR@yana
1184-RGECLR@yana	1171-RGECLR@yana
1184-RGECLR@yana	1172-RGECLR@yana
1184-RGECLR@yana	1173-RGECLR@yana
1184-RGECLR@yana	1174-RGECLR@yana
1184-RGECLR@yana	1175-RGECLR@yana
1184-RGECLR@yana	1176-RGECLR@yana
1184-RGECLR@yana	1177-RGECLR@yana
1184-RGECLR@yana	1178-RGECLR@yana
1184-RGECLR@yana	1179-RGECLR@yana
1184-RGECLR@yana	1180-RGECLR@yana
1184-RGECLR@yana	1181-RGECLR@yana
1184-RGECLR@yana	1182-RGECLR@yana
1184-RGECLR@yana	1183-RGECLR@yana
1216-CSHUA@yana	1216-CSHUA@yana
1216-CSHUA@yana	54976-PPIA_HUMAN@pmd
1216-CSHUA@yana	1217-CSHUA@yana
1216-CSHUA@yana	54977-PPIA_HUMAN@pmd
1216-CSHUA@yana	1218-CSHUA@yana
1216-CSHUA@yana	54978-PPIA_HUMAN@pmd
1216-CSHUA@yana	1219-CSHUA@yana
1216-CSHUA@yana	54979-PPIA_HUMAN@pmd
1216-CSHUA@yana	1220-CSHUA@yana
1216-CSHUA@yana	1221-CSHUA@yana
1216-CSHUA@yana	1222-CSHUA@yana
1216-CSHUA@yana	1223-CSHUA@yana
1216-CSHUA@yana	1224-CSHUA@yana
1216-CSHUA@yana	1225-CSHUA@yana
1216-CSHUA@yana	1226-CSHUA@yana
1216-CSHUA@yana	1210-CSHUA@yana
1216-CSHUA@yana	1211-CSHUA@yana
1216-CSHUA@yana	1212-CSHUA@yana
1216-CSHUA@yana	1213-CSHUA@yana
1216-CSHUA@yana	54973-PPIA_HUMAN@pmd
1216-CSHUA@yana	1214-CSHUA@yana
1216-CSHUA@yana	54974-PPIA_HUMAN@pmd
1216-CSHUA@yana	1215-CSHUA@yana
1216-CSHUA@yana	54975-PPIA_HUMAN@pmd
